Trade no.,Date,Pair,Direction,R-Multiple, P&L ($),Return (%),Day ,"$100,000",Open Time,Close Time,Duration,week_start,weekday_Num,Session,,,,,,,,,,,,,
1,3/13/2025,EURUSD,Long,-0.96,-478.50,-0.48%,Thursday,"$99,521.50",6:47:00 PM,8:58:00 PM,2:11:00,3/10/2025,4,London,,,,,,,,,,,,,
2,3/14/2025,XAUUSD,Long,3.50,1750.80,1.75%,Friday,"$101,272.30",4:02:00 PM,6:50:00 PM,2:48:00,3/10/2025,5,London,,,,,,,,,,,,,
3,3/14/2025,EURUSD,Long,1.49,744.00,0.74%,Friday,"$102,016.30",4:19:00 PM,7:05:00 PM,2:46:00,3/10/2025,5,London,,,,,,,,,,,,,
4,3/17/2025,XAUUSD,Short,-1.06,-528.14,-0.53%,Monday,"$101,488.16",11:21:00 PM,8:40:00 AM,9:19:00,3/17/2025,1,New York,,,,,,,,,,,,,
5,3/20/2025,EURUSD,Long,-1.23,-616.20,-0.62%,Thursday,"$100,871.96",5:15:00 PM,6:13:00 PM,0:58:00,3/17/2025,4,London,,,,,,,,,,,,,
6,3/20/2025,XAUUSD,Long,-0.80,-398.55,-0.40%,Thursday,"$100,473.41",5:59:00 PM,7:07:00 PM,1:08:00,3/17/2025,4,London,,,,,,,,,,,,,
7,3/20/2025,XAUUSD,Long,-0.40,-199.94,-0.20%,Thursday,"$100,273.47",6:14:00 PM,7:07:00 PM,0:53:00,3/17/2025,4,London,,,,,,,,,,,,,
8,3/20/2025,XAUUSD,Long,0.38,188.00,0.19%,Thursday,"$100,461.47",8:13:00 PM,10:59:00 PM,2:46:00,3/17/2025,4,New York,,,,,,,,,,,,,
9,3/21/2025,XAUUSD,Long,-1.10,-549.84,-0.55%,Friday,"$99,911.63",3:49:00 PM,10:38:00 PM,6:49:00,3/17/2025,5,London,,,,,,,,,,,,,
10,3/25/2025,XAUUSD,Long,1.25,625.36,0.63%,Tuesday,"$100,536.99",4:56:00 PM,12:30:00 AM,7:34:00,3/24/2025,2,London,,,,,,,,,,,,,
11,3/26/2025,XAUUSD,Long,-0.96,-480.30,-0.48%,Wednesday,"$100,056.69",12:17:00 PM,1:06:00 PM,0:49:00,3/24/2025,3,Asia,,,,,,,,,,,,,
12,3/26/2025,XAUUSD,Long,-0.54,-268.96,-0.27%,Wednesday,"$99,787.73",6:32:00 PM,11:02:00 PM,4:30:00,3/24/2025,3,London,,,,,,,,,,,,,
13,3/27/2025,XAUUSD,Long,4.75,2376.86,2.38%,Thursday,"$102,164.59",4:31:00 PM,8:22:00 PM,3:51:00,3/24/2025,4,London,,,,,,,,,,,,,
14,3/28/2025,EURUSD,Long,-1.08,-540.00,-0.54%,Friday,"$101,624.59",4:45:00 PM,5:22:00 PM,0:37:00,3/24/2025,5,London,,,,,,,,,,,,,
15,3/31/2025,EURUSD,Long,-1.04,-520.00,-0.52%,Monday,"$101,104.59",10:41:00 PM,11:05:00 PM,0:24:00,3/31/2025,1,New York,,,,,,,,,,,,,
16,4/2/2025,XAUUSD,Long,-0.99,-495.43,-0.50%,Wednesday,"$100,609.16",7:41:00 PM,7:54:00 PM,0:13:00,3/31/2025,3,New York,,,,,,,,,,,,,
17,4/2/2025,EURUSD,Long,4.70,2348.00,2.35%,Wednesday,"$102,957.16",7:34:00 PM,11:48:00 PM,4:14:00,3/31/2025,3,New York,,,,,,,,,,,,,
18,4/4/2025,XAUUSD,Long,4.73,2365.93,2.37%,Friday,"$105,323.09",6:46:00 PM,8:10:00 PM,1:24:00,3/31/2025,5,London,,,,,,,,,,,,,
19,4/7/2025,XAUUSD,Long,-0.24,-119.80,-0.12%,Monday,"$105,203.29",11:24:00 PM,11:25:00 PM,0:01:00,4/7/2025,1,New York,,,,,,,,,,,,,
20,4/9/2025,EURUSD,Short,2.15,1073.00,1.07%,Wednesday,"$106,276.29",7:10:00 PM,3:05:00 AM,7:55:00,4/7/2025,3,New York,,,,,,,,,,,,,
21,4/10/2025,EURUSD,Short,-2.81,-1407.00,-1.41%,Thursday,"$104,869.29",3:59:00 PM,4:32:00 PM,0:33:00,4/7/2025,4,London,,,,,,,,,,,,,
22,4/11/2025,EURUSD,Short,0.73,366.60,0.37%,Friday,"$105,235.89",10:23:00 PM,12:32:00 AM,2:09:00,4/7/2025,5,New York,,,,,,,,,,,,,
32,4/11/2025,EURUSD,Short,-2.55,-1274.00,-1.27%,Friday,"$103,961.89",4:21:00 PM,4:57:00 PM,0:36:00,4/7/2025,5,London,,,,,,,,,,,,,
23,4/14/2025,XAUUSD,Short,-1.52,-757.70,-0.76%,Monday,"$103,204.19",4:45:00 PM,5:05:00 PM,0:20:00,4/14/2025,1,London,,,,,,,,,,,,,
